-45.27 -18.16      0      0    0.6    2.9    0.4      0    0.5      0    0.2    1.2    1.6    4.3    1.4    1.1   9.72  18.62   5.17   0.84   0.66      0      0      0      0      0      0      0      0      0      0   2.69      0      0      0      0      0      0      0      0      0   1.05   0.37    3.7    3.7    3.7    3.7
-43.83 -11.35      0      0      0      0      0      0      0      0      0      0      0      0    0.1      0      0      0      0   1.11   1.46   0.86      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
-48.55 -22.52      0    0.3    7.4     13    0.5    0.1    0.1    0.6      4      6    8.5    7.1    5.5    5.6   0.38  14.46      0      0      0      0      0      0    1.4      0      0   0.25      0      0   2.25   1.62      0      0      0      0      0      0      0      0   4.06   5.97   8.09   9.67   9.67   9.67   9.67
-46.91 -23.46    0.1    0.1    9.1   10.1    0.4    0.2    0.3    0.6    5.7    9.5   13.6   10.1    7.9    6.5      0  11.72      0      0   0.39      0      0      0   0.76      0      0   4.88    0.7      0   1.05   4.89      0      0      0      0      0      0      0      0   4.11   4.75   8.29   14.3   14.3   14.3   14.3
-48.99 -21.76      0    0.2    6.4   13.7    0.4    0.1    0.1    0.5    4.1    5.7    9.5    6.9    5.3    5.6   0.22  16.42      0      0      0      0      0      0   0.32      0      0      0      0      0   1.84   1.59      0      0      0      0      0      0      0      0   2.18   0.55   0.97   0.21   0.21   0.21   0.21
 -50.2 -21.12      0    0.3    7.3   13.6    0.2      0      0    0.1    2.7    4.3    5.5    5.8    3.2    3.5   0.34   20.3   0.22      0      0      0      0      0      0      0      0      0      0      0   5.73   1.68      0      0      0      0      0      0      0      0   6.66   0.51   7.18   0.26   0.26   0.26   0.26
 -48.3  -13.4      0      0      0      0      0      0      0      0    0.1      0    0.1    0.5    0.4    0.1      0   2.17   4.19   1.07   2.48   0.74   0.27      0      0      0      0      0      0      0      0      0   1.66      0   0.35   0.27      0      0      0      0      0   1.18   9.79   8.33   8.33   8.33   8.33
 -51.2 -27.78    0.5   17.9      1    0.1      1    2.7    5.2    7.7    5.9    4.4    9.8    7.7   14.1    5.2     31   0.84      0      0      0      0      0  12.66      0  25.86    7.5      0      0     31   9.78      0      0      0      0      0      0      0   7.75  28.54     31  14.96   0.29   0.69   0.69   0.69   0.69
-51.33  -27.6      0   15.4    0.6    0.6    0.9      1    3.5    4.4    8.3    6.3   14.4   13.3   15.1    8.9     30   1.62      0      0      0      0      0      9      0     30   6.45      0      0     30  12.88      0      0      0      0      0      0      0   2.51  27.13     30  18.11   0.46   3.04   3.04   3.04   3.04
-53.04 -27.14      0   35.8      1    0.7    1.1    0.7    2.2      5    1.8    3.1    7.1    6.5   11.4    4.8  25.08   0.81      0      0      0      0      0   8.12      0     36  28.63      0      0     36   3.73      0      0      0      0      0      0      0  19.54  10.51   3.77   1.79      0    7.2    7.2    7.2    7.2
